"Name of Satellite, Alternate Names",Launch Mass (kg.),Power (watts),Battery capacity (Ah),Battery type,Solar panel type,Date of Launch,Expected Lifetime (yrs.),Source,Source,Source,Source,Source,Source,Source
Nanosat-1,20,20,4.8,Li-Ion,GaAs/Ge,18/12/2004,,,,http://www.spacenewsfeed.co.uk/2004/19December2004_27.html,http://www.satnews.com/stories11/873.htm,http://www.lib.cas.cz/knav/space.40/2004/049B.HTM,,
Nanosat-1B,20,20,5.8, Li-ion,,29/07/2009,,,,http://nssdc.gsfc.nasa.gov/spacewarn/spx669.html,,,,
NorSat-1,30,40,9.6,Li-Ion,triple junction solar cells ,14/07/2017,,https://directory.eoportal.org/web/eoportal/satellite-missions/content/-/article/norsat-1,,http://www.planet4589.org/space/log/satcat.txt,,,,
Rising-2,41,42,3.7,NiMH,GaAs ,24/05/2014,,https://directory.eoportal.org/web/eoportal/satellite-missions/r/rising-2,,http://www.sciencedaily.com/releases/2014/07/140716090908.htm,,,,
Maroc Tubsat ,47,56,12,NiH2,,10/12/2001,3,http://www.vectronic-aerospace.com/html/body_maroc-tubsat.html,,http://nssdc.gsfc.nasa.gov/spacewarn/spx578.html,http://www.ilr.tu-berlin.de/RFA/MAROC-TUBSAT/MAROC-TUBSAT.htm,http://www.vectronic-aerospace.com/html/maroc-tubsat.html,,
SDS-4 (Small Demonstration Satellite-4),50,120,4,NiMH ,GaAs ,17/05/2012,2,https://directory.eoportal.org/web/eoportal/satellite-missions/s/sds-4,,http://www.zarya.info/Diaries/Launches/Launches.php?year=2012,,,,
UNIFORM 1  (UNiversity International FORmation Mission 1),50,140,6.2,Li-Ion,GaInP2/GaAs/Ge triple junction ,24/05/2014,,https://eoportal.org/web/eoportal/satellite-missions/u/uniform-1,,https://www.space.com/space-station-deploys-birds-3-cubesats-video.html,,,,
LAPAN-Tubsat (LAPAN A1),60,14,8,NiH2,,10/01/2007,,http://www.n2yo.com/satellite.php?s=29709,,http://www.ilr.tu-berlin.de/RFA/sat/lapan/paper/triharj1.pdf,http://www.spacedaily.com/reports/First_Indonesian_Developed_Satellite_To_Be_Launched_In_October_999.html,,,
Hodoyoshi-3,60,50,5.8,Li-Ion  ,GaInP2/GaGa/Ge  ,19/06/2014,,http://www.technology.org/2014/08/06/micro-satellites-hodoyoshi-3-4-start-capturing-earth-images/,,http://www.t.u-tokyo.ac.jp/etpage/release/2014/2014061701.html,,,,
Hodoyoshi-4,60,50,5.8,Li-Ion  ,GaInP2/GaGa/Ge  ,19/06/2014,,http://www.technology.org/2014/08/06/micro-satellites-hodoyoshi-3-4-start-capturing-earth-images/,,http://www.t.u-tokyo.ac.jp/etpage/release/2014/2014061701.html,,,,
"COSMIC-A (Formosat-3A, Constellation Observing System for Meteorology, Ionosphere and Climate)",70,46,10,,,15/04/2006,2,http://www.orbital.com/SatellitesSpace/LEO/FORMOSAT-3/index.html,,http://www.ucar.edu/news/releases/2006/cosmic.shtml,http://www.lib.cas.cz/www/space.40/2006/011B.HTM,http://nssdc.gsfc.nasa.gov/spacewarn/spx630.html,,
X-Sat,91,175,13.5,Li-Ion,GaAs ,20/04/2011,3,http://www.lib.cas.cz/space.40/2011/015C.HTM,,http://www.xmradio.com/newsroom/screen/pr_2005_03_01.html,,,,
Bird 2 (Bispectral InfraRed Detector 2),92,120,12,NiH2,,22/10/2001,1.5,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,http://nssdc.gsfc.nasa.gov/spacewarn/spx576.html,http://spacesensors.dlr.de/SE/bird/,http://www.lib.cas.cz/www/space.40/2001/049C.HTM,,
STSat-2C,93,160,7,,GaInP2/GaAs/Ge ,30/01/2013,2,http://www.nasaspaceflight.com/2013/01/south-korea-stsat-2c-via-kslv-1/,,http://nssdc.gsfc.nasa.gov/spacewarn/spx598.html,http://space50.kosmo.cz/s40/2013/INDEX1.HTM,,,
Proba 1 (Project for On-Board Autonomy),100,100,9,Li-Ion,GaAs ,22/10/2001,2,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,http://nssdc.gsfc.nasa.gov/spacewarn/spx576.html,http://www.esa.int/SPECIALS/Proba_web_site/ESAQ9KTHN6D_0.html,,,
LAPAN A3,115,37,6,Li-Ion,GaAs ,22/06/2016,,http://spaceflight101.com/pslv-c34/lapan-a3/,,http://spaceflightnow.com/2016/06/22/pslv-c34/,http://www.zarya.info/Diaries/Launches/Launches.php?year=2016,,,
"TET-1 (Technologieerprobungsträger 1, Technology Experiment Carrier)",120,20,14,NiH2,GaAs ,22/07/2012,1,http://www.kayser-threde.de/tet/index.html,,https://spaceflightnow.com/2019/06/25/falcon-heavy-launches-on-military-led-rideshare-mission-boat-catches-fairing/,http://www.zarya.info/Diaries/Launches/Launches.php?year=2012,http://www.tsenki.com/en/launch_services/help_information/launch/2012/?EID=93961,,
THEMIS A (Time History of Events and Macroscale Interactions during Substorms) ,126,40,12,Li-Ion,GaAs ,17/02/2007,2,http://www.swales.com/spacecraft/themis.html,,http://www.spaceref.com/news/viewpr.html?pid=17335,http://earthobservatory.nasa.gov/Newsroom/NasaNews/2007/2007021724505.html,http://www.nasa.gov/mission_pages/themis/mission/index.html,,
Proba 2 (Project for On-Board Autonomy),130,86,11,Li-Ion,triple-junction GaAs,02/11/2009,2,http://www.esa.int/esaMI/Proba/index.html,,,http://www.lib.cas.cz/space.40/2009/059B.HTM,,,
