Coeficientes/RMSE;Ec.24;Ec.25;Ec.26;Ec.27;Ec.28;;;;;;;;;
E0 [V];24.07059;24.42332;24.42332;24.42332;24.42332;;;;;;;;;
E1[VW-1h-1];-0.01303;-0.01278;;;;;;;;;;;;
E1,0 [V W-1 h-1];;;-0.01278;-0.01280;-0.01288;;;;;;;;;
E1,1 [VW-1h-1];;;-1.97E-05;-3.06E-05;-6.21E-05;;;;;;;;;
E1,2 [VW-1h-1A-2];;;-5.21E-06;-6.88E-06;-1.16E-05;;;;;;;;;
E2 [V];-1.84E-11;;;;;;;;;;;;;
E2,0[V];;8.30E-12;8.25E-12;8.21E-12;4.58E-12;;;;;;;;;
E2,1 [ohmnios];;8.98E-12;8.93E-12;8.89E-12;8.29E-12;;;;;;;;;
E2,2 [ohnios A-1];;1.36E-12;1.35E-12;1.35E-12;1.45E-12;;;;;;;;;
E3 [W-1h-1];;;;;;;;;;;;;;
E3,0 [W-1h-1];0.07510;0.07997;0.07998;0.07998;0.07233;;;;;;;;;
E3,1 [W-1h-1A-1];-0.00110;-0.00107;-0.00108;-0.00109;-0.00344;;;;;;;;;
E4,1[W-Ed4,2 h-Ed4,2];;;;1.00E-05;;;;;;;;;;
E4,2;;;;1.00E-05;;;;;;;;;;
E4,1;;;;;3.35E-01;;;;;;;;;
E4,2 [W-1h-1];;;;;1.06E-05;;;;;;;;;
Rd [ohnios];;;;;;;;;;;;;;
Rd,0[ohnios];0.05895;0.33456;0.33456;0.33456;0.33456;;;;;;;;;
Rd,1 [ohnios A-1];0.01053;-0.03053;-0.03053;-0.03053;-0.03053;;;;;;;;;
RMSE [V];0.06717;0.04812;0.04809;0.04808;0.04721;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
